"Area","MTU","Biomass - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"CTA|ES","01.01.2025 09:15 - 01.01.2025 09:30 (CET/CEST)","372","0","0","6548","248","8","0","0","0","140","2204","876","1592","0","7120","8","64","1064","172","0","3940"
"CTA|ES","01.01.2025 09:30 - 01.01.2025 09:45 (CET/CEST)","368","0","0","6156","248","8","0","0","0","132","2300","864","1356","0","7120","8","64","2156","172","0","3840"
"CTA|ES","01.01.2025 09:45 - 01.01.2025 10:00 (CET/CEST)","372","0","0","5448","248","8","0","0","0","136","2424","864","1212","0","7120","8","68","3532","172","0","3728"
"CTA|ES","01.01.2025 10:00 - 01.01.2025 10:15 (CET/CEST)","368","0","0","4920","248","8","0","0","0","108","2596","840","1036","0","7120","8","68","4872","176","0","3604"
"CTA|ES","01.01.2025 10:15 - 01.01.2025 10:30 (CET/CEST)","348","0","0","4400","248","8","0","0","0","20","2632","808","932","0","7120","8","68","6420","180","0","3560"
"CTA|ES","01.01.2025 10:30 - 01.01.2025 10:45 (CET/CEST)","344","0","0","3760","248","8","0","0","0","0","2996","776","964","0","7120","8","64","7928","184","0","3520"
"CTA|ES","01.01.2025 10:45 - 01.01.2025 11:00 (CET/CEST)","344","0","0","3408","248","8","0","0","0","4","3308","736","884","0","7120","8","64","9092","180","0","3504"
"CTA|ES","01.01.2025 11:00 - 01.01.2025 11:15 (CET/CEST)","352","0","0","3228","248","8","0","0","0","0","3388","724","872","0","7120","8","64","9608","184","0","3468"
"CTA|ES","01.01.2025 11:15 - 01.01.2025 11:30 (CET/CEST)","352","0","0","2920","248","8","0","0","0","0","3456","760","740","0","7120","8","68","10376","184","0","3484"
"CTA|ES","01.01.2025 11:30 - 01.01.2025 11:45 (CET/CEST)","352","0","0","2552","248","8","0","0","0","0","3568","760","704","0","7120","8","68","10964","180","0","3484"
"CTA|ES","01.01.2025 11:45 - 01.01.2025 12:00 (CET/CEST)","348","0","0","2576","252","8","0","0","0","0","3636","768","736","0","7120","8","64","11180","180","0","3440"
"CTA|ES","01.01.2025 12:00 - 01.01.2025 12:15 (CET/CEST)","348","0","0","2632","248","8","0","0","0","4","3812","756","712","0","7120","8","64","11420","184","0","3400"
"CTA|ES","01.01.2025 12:15 - 01.01.2025 12:30 (CET/CEST)","360","0","0","2644","252","8","0","0","0","24","3852","732","588","0","7116","8","64","11720","184","0","3332"
"CTA|ES","01.01.2025 12:30 - 01.01.2025 12:45 (CET/CEST)","364","0","0","2572","248","8","0","0","0","28","3856","736","576","0","7120","8","64","11900","180","0","3380"
"CTA|ES","01.01.2025 12:45 - 01.01.2025 13:00 (CET/CEST)","352","0","0","2772","248","8","0","0","0","4","3852","736","584","0","7120","8","64","11880","180","0","3460"
"CTA|ES","01.01.2025 13:00 - 01.01.2025 13:15 (CET/CEST)","352","0","0","3064","252","8","0","0","0","0","3860","720","564","0","7120","8","64","11780","180","0","3536"
"CTA|ES","01.01.2025 13:15 - 01.01.2025 13:30 (CET/CEST)","348","0","0","3152","252","8","0","0","0","0","3876","720","568","0","7120","8","64","11676","180","0","3608"
"CTA|ES","01.01.2025 13:30 - 01.01.2025 13:45 (CET/CEST)","348","0","0","3132","252","8","0","0","0","0","3880","728","584","0","7120","8","64","11712","184","0","3664"
"CTA|ES","01.01.2025 13:45 - 01.01.2025 14:00 (CET/CEST)","356","0","0","3276","248","8","0","0","0","0","3808","744","596","0","7120","8","68","11656","184","0","3688"
"CTA|ES","01.01.2025 14:00 - 01.01.2025 14:15 (CET/CEST)","360","0","0","3300","248","8","0","0","0","0","3756","736","636","0","7120","8","68","11440","180","0","3720"
