Area,MTU,Biomass - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
BZN|ES,28.04.2025 14:30 - 28.04.2025 14:45 (CET/CEST),88,0,0,420,0,12,0,0,0,0,128,432,80,0,0,4,44,4900,72,0,2284
BZN|ES,28.04.2025 14:45 - 28.04.2025 15:00 (CET/CEST),88,0,0,428,0,12,0,0,0,0,128,436,104,0,0,4,44,4896,72,0,2252
BZN|ES,28.04.2025 15:00 - 28.04.2025 15:15 (CET/CEST),88,0,0,432,0,12,0,0,0,0,108,428,116,0,0,4,44,4892,72,0,2248
BZN|ES,28.04.2025 15:15 - 28.04.2025 15:30 (CET/CEST),88,0,0,432,0,12,0,0,0,4,104,428,140,0,0,4,44,4884,72,0,2284
BZN|ES,28.04.2025 15:30 - 28.04.2025 15:45 (CET/CEST),88,0,0,476,0,12,0,0,0,36,100,436,164,0,0,4,44,4876,72,0,2356
BZN|ES,28.04.2025 15:45 - 28.04.2025 16:00 (CET/CEST),64,0,0,520,0,12,0,0,0,84,12,432,196,0,0,4,44,4868,72,0,2332
BZN|ES,28.04.2025 16:00 - 28.04.2025 16:15 (CET/CEST),52,0,0,612,0,12,0,0,0,200,4,432,248,0,0,4,44,4812,72,0,2036
BZN|ES,28.04.2025 16:15 - 28.04.2025 16:30 (CET/CEST),52,0,0,632,0,12,0,0,0,316,4,432,296,0,0,4,44,4788,68,0,1992
BZN|ES,28.04.2025 16:30 - 28.04.2025 16:45 (CET/CEST),44,0,0,676,0,12,0,0,0,344,0,436,324,0,0,4,44,4792,72,0,1964
BZN|ES,28.04.2025 16:45 - 28.04.2025 17:00 (CET/CEST),44,0,0,744,0,12,0,0,0,412,0,428,348,0,0,4,44,4784,76,0,1960
BZN|ES,28.04.2025 17:00 - 28.04.2025 17:15 (CET/CEST),44,0,0,792,0,12,0,0,0,444,0,428,416,0,0,4,44,4596,76,0,1964
BZN|ES,28.04.2025 17:15 - 28.04.2025 17:30 (CET/CEST),44,0,0,860,0,12,0,0,0,632,0,432,488,0,0,4,44,4516,72,0,1948
BZN|ES,28.04.2025 17:30 - 28.04.2025 17:45 (CET/CEST),44,0,0,968,0,12,0,0,0,752,0,436,560,0,0,4,48,4480,72,0,1872
BZN|ES,28.04.2025 17:45 - 28.04.2025 18:00 (CET/CEST),44,0,0,1012,0,12,0,0,0,992,0,436,676,0,0,4,48,4464,72,0,1860
BZN|ES,28.04.2025 18:00 - 28.04.2025 18:15 (CET/CEST),44,0,0,1060,0,12,0,0,0,1524,0,432,692,0,0,4,48,4460,72,0,1856
BZN|ES,28.04.2025 18:15 - 28.04.2025 18:30 (CET/CEST),44,0,0,1172,0,12,0,0,0,1372,0,436,756,0,0,4,48,4424,72,0,1820
BZN|ES,28.04.2025 18:30 - 28.04.2025 18:45 (CET/CEST),44,0,0,1288,0,12,0,0,0,1392,0,448,876,0,0,4,44,4360,72,0,1756
BZN|ES,28.04.2025 18:45 - 28.04.2025 19:00 (CET/CEST),44,0,0,1356,0,12,0,0,0,1456,0,460,1076,0,0,4,44,4360,72,0,1780
BZN|ES,28.04.2025 19:00 - 28.04.2025 19:15 (CET/CEST),44,0,0,1556,0,12,0,0,0,1428,0,452,808,0,0,4,44,4352,72,0,1792
BZN|ES,28.04.2025 19:15 - 28.04.2025 19:30 (CET/CEST),44,0,0,1748,0,12,0,0,0,1540,0,452,1016,0,0,4,48,4332,68,0,1784
BZN|ES,28.04.2025 19:30 - 28.04.2025 19:45 (CET/CEST),48,0,0,2048,0,12,0,0,0,1692,0,432,1000,0,0,4,48,4316,68,0,1780
BZN|ES,28.04.2025 19:45 - 28.04.2025 20:00 (CET/CEST),48,0,0,2104,0,12,0,0,0,1704,0,432,1296,0,0,4,48,4276,68,0,1780
BZN|ES,28.04.2025 20:00 - 28.04.2025 20:15 (CET/CEST),56,0,0,2240,0,12,0,0,0,1700,0,432,1392,0,0,0,48,4212,68,0,1772
